,City,Country,Temperature,Humidity,Latitude,Longitude,Cloudiness,Wind Speed
212,Klaksvík,FO,33.8,69,62.2266,-6.589,75,19.57
213,Iqaluit,CA,23.0,86,63.7506,-68.5145,75,19.57
214,Vanimo,PG,77.22,84,-2.6741,141.3028,98,3.51
215,Johi,PK,60.6,28,26.6921,67.6133,0,3.87
216,Nagornyy,RU,30.2,86,52.7959,83.5498,0,6.71
217,Necochea,AR,75.99,59,-38.5473,-58.7368,7,14.81
218,Hofn,IS,35.91,84,64.2539,-15.2082,100,17.78
219,Altoona,US,30.72,49,40.5187,-78.3947,0,11.01
220,Haines Junction,CA,-27.4,68,60.7522,-137.5108,87,0.6
221,Chernyshevskiy,RU,-32.15,86,63.0128,112.4714,0,1.32
222,Sørland,NO,34.75,83,67.667,12.6934,100,26.62
223,Wangqing,CN,6.35,90,43.3218,129.7634,88,4.81
224,Cambuí,BR,74.07,80,-22.6122,-46.0575,57,5.73
225,Malbork,PL,15.94,67,54.0359,19.0266,40,9.22
226,Dobryanka,RU,23.0,86,58.4619,56.4165,75,13.42
227,Kalianget,ID,79.84,82,-7.05,113.9333,88,12.37
228,Rapid Valley,US,-0.44,78,44.0625,-103.1463,20,12.66
229,Pitimbu,BR,87.8,58,-7.4706,-34.8086,75,12.66
230,Kalakamati,BW,77.0,73,-20.5929,27.3121,40,9.22
231,Dashitou,CN,1.53,90,43.3067,128.5114,54,5.48
232,Provideniya,RU,2.03,92,64.3833,-173.3,64,4.23
233,Esperance,AU,60.8,82,-33.8667,121.9,90,9.22
234,Buluang,PH,73.87,92,13.3068,123.3425,40,3.8
235,Bay City,US,16.29,67,43.5945,-83.8889,75,17.27
236,Ribeira Grande,PT,62.6,82,38.5167,-28.7,75,24.16
237,Semenyih,MY,79.81,78,2.9516,101.843,20,4.61
238,Dali,CN,46.42,56,25.7,100.1833,1,5.12
239,Morón,AR,88.61,32,-34.6534,-58.6198,0,1.01
240,Makokou,GA,84.2,74,0.5738,12.8642,40,4.61
241,Ahtopol,BG,51.8,82,42.1,27.95,0,9.22
242,Araouane,ML,85.55,14,18.9048,-3.5265,100,14.52
243,West Wendover,US,30.2,64,40.7391,-114.0733,1,6.22
244,Fergus Falls,US,-11.15,70,46.283,-96.0776,1,19.57
245,Ponta Delgada,PT,60.8,82,37.7333,-25.6667,20,17.27
246,Babīna,IN,55.42,46,25.25,78.4667,0,5.35
247,Murgab,TM,51.8,66,37.4966,61.9714,90,6.91
248,Carnarvon,AU,80.6,100,-24.8667,113.6333,40,11.5
249,Port Hedland,AU,80.6,74,-20.3167,118.5667,90,6.91
250,Chunskiy,RU,14.23,96,56.0815,99.6342,100,3.44
251,Martinsville,US,49.05,31,36.6915,-79.8725,1,10.36
252,Oranjemund,NA,67.35,81,-28.55,16.4333,0,18.99
253,Jaisalmer,IN,61.25,28,26.9147,70.9181,0,5.61
254,Mishkino,RU,33.98,98,55.3389,63.9175,100,12.01
255,Ode,NG,93.04,14,7.7899,5.7117,38,5.3
256,Bredasdorp,ZA,75.2,60,-34.5322,20.0403,12,17.27
257,Channel-Port aux Basques,CA,38.3,96,47.5702,-59.1367,100,19.39
258,Chimbote,PE,76.14,63,-9.0853,-78.5783,100,8.97
259,Kiunga,PG,74.34,98,-6.1219,141.2906,100,1.9
260,Vágur,FO,37.49,76,61.4732,-6.8119,100,23.33
261,Lumeje,AO,73.44,80,-11.55,20.7833,56,8.21
262,Poum,NC,79.84,67,-20.2333,164.0167,15,2.95
263,Raahe,FI,12.2,85,64.6833,24.4833,0,9.22
264,Waitati,NZ,56.57,79,-45.75,170.5667,7,11.99
265,Beyla,GN,94.32,22,8.6833,-8.6333,100,4.56
266,Ishigaki,JP,70.39,65,24.3448,124.1572,0,8.84
267,Hazorasp,UZ,46.4,76,41.3194,61.0742,0,6.91
268,Hualmay,PE,74.79,67,-11.0964,-77.6139,93,8.97
269,Jumla,NP,27.95,81,29.2747,82.1838,7,6.2
270,Ishinomaki,JP,41.63,78,38.4167,141.3,1,9.31
271,Keuruu,FI,7.79,92,62.2667,24.7,0,5.75
272,Bambous Virieux,MU,79.38,83,-20.3428,57.7575,20,5.75
273,Tuatapere,NZ,51.49,86,-46.1333,167.6833,1,3.22
274,Lata,PT,55.58,73,40.1629,-8.3327,89,1.99
275,Majene,ID,78.4,84,-3.5403,118.9707,100,2.21
276,Keti Bandar,PK,67.62,56,24.1447,67.4497,0,9.24
277,Taicheng,CN,29.82,81,38.731,113.228,0,4.21
278,Gijón,ES,50.47,84,43.5357,-5.6615,98,5.01
279,Evora,PT,50.0,93,38.5667,-7.9,90,14.97
280,Nísia Floresta,BR,88.66,55,-6.0911,-35.2086,75,10.36
281,Ituporanga,BR,86.76,39,-27.4144,-49.6025,0,1.01
282,Uíge,AO,78.8,73,-7.6087,15.0613,75,9.22
283,Pisco,PE,73.65,83,-13.7,-76.2167,75,9.22
284,Cuenca,EC,68.0,52,-2.8833,-78.9833,75,6.91
285,Totness,SR,82.9,68,5.8833,-56.3167,100,12.71
286,Hingoli,IN,68.22,26,19.7167,77.15,0,10.07
287,Paamiut,GL,23.04,81,61.994,-49.6678,0,7.18
288,Colares,PT,53.17,76,38.7992,-9.4469,40,19.57
289,Collie,AU,57.99,89,-33.3667,116.15,100,3.0
290,Bannu,PK,54.1,45,32.9854,70.6027,0,1.7
291,Half Moon Bay,US,48.52,93,37.4636,-122.4286,90,3.2
292,Aksu,CN,26.98,87,41.1231,80.2644,0,1.59
293,Neyshabur,IR,51.93,44,36.2133,58.7958,100,4.41
294,Larsnes,NO,26.01,70,62.2028,5.5773,0,4.36
295,Aykhal,RU,-34.06,81,66.0,111.5,2,5.17
296,Wadi Maliz,TN,60.8,82,36.4681,8.5495,40,2.3
297,Ambilobe,MG,76.26,89,-13.2,49.05,100,0.98
298,Achit,RU,19.53,97,56.7985,57.8994,100,15.03
299,Yong’an,CN,23.0,86,39.6957,113.6871,0,3.94
300,Casas Grandes,MX,50.0,29,30.3667,-107.95,0,0.85
301,Rāmāpuram,IN,78.8,65,13.1167,79.2,20,3.44
302,Vyazemskiy,RU,-10.08,90,47.5378,134.7525,99,2.04
303,Pacasmayo,PE,75.34,63,-7.4006,-79.5714,99,10.78
304,Narsaq,GL,32.0,29,60.9167,-46.05,1,14.97
305,Pangnirtung,CA,15.8,79,66.1451,-65.7125,75,8.05
306,Krasnosel'kup,RU,1.15,93,65.7,82.4667,100,13.65
307,Tahe,CN,-15.36,87,52.3333,124.7333,54,3.27
308,Freeport,US,40.77,42,40.6576,-73.5832,1,19.57
309,Grand Gaube,MU,80.01,77,-20.0064,57.6608,39,5.01
310,Palmer,US,37.29,51,42.1584,-72.3287,40,21.85
311,Yar-Sale,RU,-30.8,84,66.8333,70.8333,100,13.56
312,Taltal,CL,69.13,61,-25.4,-70.4833,18,6.17
313,Rovaniemi,FI,15.8,86,66.5,25.7167,0,12.66
314,Bunbury,AU,57.99,89,-33.3333,115.6333,100,3.0
315,Along,IN,53.76,52,28.1667,94.7667,5,1.95
316,Praia,CV,73.4,56,14.9215,-23.5087,75,25.32
317,Adrar,MR,71.4,22,20.5022,-10.0711,37,14.29
318,Dunedin,NZ,56.35,86,-45.8742,170.5036,4,1.99
319,Deputatsky,RU,-35.66,85,69.3,139.9,83,0.72
320,Rocha,UY,84.7,39,-34.4833,-54.3333,0,13.91
321,Lavrentiya,RU,-4.02,82,65.5833,-171.0,81,6.15
322,Ambon City,ID,78.8,89,-3.6954,128.1814,40,5.75
323,Ancud,CL,75.63,35,-41.8697,-73.8203,0,13.8
324,Vila Velha,BR,82.4,74,-20.3297,-40.2925,20,14.97
325,Kapuskasing,CA,-3.1,71,49.4169,-82.4331,100,16.11
326,Rodrigues Alves,BR,84.2,79,-7.738,-72.6509,75,6.91
327,Ilulissat,GL,19.4,38,69.2167,-51.1,40,21.85
328,Lovozero,RU,19.76,96,68.005,35.0117,100,17.36
329,Coahuayana Viejo,MX,71.6,73,18.7333,-103.6833,1,2.89
330,Lufilufi,WS,80.28,89,-13.8745,-171.5986,75,17.27
331,Lázaro Cárdenas,MX,82.18,57,17.9583,-102.2,27,3.53
332,Medvedevo,RU,-0.4,78,56.6339,47.804,40,15.66
333,College,US,-11.6,70,64.8569,-147.8028,90,1.14
334,Severomuysk,RU,-18.87,89,56.1481,113.4267,100,2.13
335,La Maddalena,IT,55.4,94,41.2142,9.4083,20,2.3
336,Lüderitz,NA,77.23,46,-26.6481,15.1594,0,30.27
337,Kānt,IN,54.39,58,27.8,79.8,0,8.01
338,Puri,IN,71.6,68,19.8,85.85,20,9.01
339,Halifax,CA,43.09,75,44.6453,-63.5724,81,23.02
340,Tateyama,JP,45.57,87,34.9833,139.8667,20,11.5
341,Tessalit,ML,90.03,11,20.1986,1.0114,99,16.42
342,Isangel,VU,77.56,80,-19.55,169.2667,0,3.29
343,Saint Anthony,US,-1.77,55,45.0205,-93.218,20,19.57
344,Fairlie,GB,39.4,85,55.756,-4.8556,88,5.01
345,Luangwa,ZM,77.63,83,-15.6167,30.4167,36,3.6
346,Nikolskoye,RU,11.23,85,59.7035,30.7861,90,13.42
347,Nyagan,RU,0.46,93,62.1406,65.3936,100,9.4
348,The Valley,AI,75.43,88,18.217,-63.0578,40,12.66
349,Saint-Louis,SN,80.6,39,16.3333,-15.0,0,4.61
350,Richards Bay,ZA,76.53,78,-28.783,32.0377,26,9.35
351,Quatre Cocos,MU,79.43,83,-20.2078,57.7625,20,5.75
352,Tefé,BR,84.2,84,-3.3542,-64.7114,75,6.91
353,Linköping,SE,11.88,85,58.4109,15.6216,1,3.44
354,Sittwe,MM,67.17,65,20.15,92.9,17,9.17
355,Kāmalāpuram,IN,70.7,60,14.5833,78.65,0,6.89
356,Naze,JP,61.47,82,28.3667,129.4833,98,7.16
357,Hasaki,JP,38.53,87,35.7333,140.8333,20,5.75
358,Jalingo,NG,91.87,11,8.8833,11.3667,5,5.44
359,Yamada,JP,37.06,85,39.4667,141.95,57,4.54
360,Sambava,MG,79.79,79,-14.2667,50.1667,25,2.64
361,Heyang,CN,53.55,74,26.1011,107.473,0,3.53
362,Sorong,ID,80.78,79,-0.8833,131.25,100,1.16
363,Khāsh,IR,51.94,38,28.2211,61.2158,0,4.16
364,Gravdal,NO,32.74,89,68.1214,13.5031,81,20.94
365,Marawi,PH,75.0,91,7.9986,124.2928,99,5.01
366,Mlandizi,TZ,82.4,78,-6.7,38.7333,20,16.11
367,Tres Arroyos,AR,84.38,35,-38.3739,-60.2798,0,10.29
368,Kitimat,CA,28.0,96,54.0524,-128.6534,91,1.88
369,Waipawa,NZ,52.11,87,-41.4122,175.5153,100,4.61
370,Sherman,US,44.15,76,33.6357,-96.6089,90,3.6
371,Walvis Bay,NA,69.01,64,-22.9575,14.5053,19,4.61
372,Frolovo,RU,19.0,84,49.7713,43.6622,100,4.0
373,Nagapattinam,IN,74.3,82,10.7667,79.8333,0,10.67
374,Sioux Lookout,CA,-14.8,64,50.1001,-91.917,90,12.66
375,Kidal,ML,89.2,11,18.4411,1.4078,57,13.6
376,Biak,ID,76.75,78,-0.9131,122.8766,100,3.04
377,Yining,CN,51.91,85,29.0361,114.5636,6,1.03
378,Constitución,CL,63.75,74,-35.3333,-72.4167,84,3.6
379,Māngrol,IN,70.47,48,21.1167,70.1167,0,6.29
380,Soyo,AO,87.8,70,-6.1349,12.3689,75,8.05
381,Baoqing,CN,-8.21,88,46.3317,132.2111,31,3.56
382,San Quintín,MX,60.1,67,30.4833,-115.95,0,2.62
383,Qiongshan,CN,68.0,94,20.0058,110.3542,0,2.24
384,Taldan,RU,-18.22,85,53.6667,124.8,14,3.67
385,Zeya,RU,-15.29,83,53.75,127.2667,0,3.6
386,Wum,CM,83.32,18,6.3833,10.0667,12,4.83
387,La Cruz,MX,73.51,53,23.9167,-106.9,0,5.32
388,Kargasok,RU,33.84,97,59.0556,80.8572,100,12.15
389,Luau,AO,69.98,92,-10.7073,22.2247,100,5.86
390,Camacha,PT,60.8,63,33.0833,-16.3333,40,21.85
391,Jardim,BR,85.42,41,-21.4803,-56.1381,0,5.84
392,Brae,GB,35.6,51,60.3964,-1.353,90,23.02
393,Jequié,BR,95.02,34,-13.8575,-40.0836,58,6.49
394,Bartica,GY,87.8,58,6.4,-58.6167,40,9.22
395,Aklavik,CA,-27.4,68,68.2191,-135.0107,20,2.3
396,Sokolo,ML,98.87,9,14.7328,-6.1219,93,5.26
397,Saint George,US,42.6,48,37.1041,-113.5841,1,6.91
398,Hervey Bay,AU,75.0,80,-25.2986,152.8535,100,1.01
399,Svetlaya,RU,4.53,87,46.5389,138.3297,44,9.1
400,Hof,DE,31.96,93,50.3167,11.9167,90,9.22
401,Lakki,PK,56.59,45,32.6079,70.9114,0,0.51
402,Durazno,UY,78.8,44,-33.4131,-56.5006,0,6.11
403,Kumul,CN,32.52,78,42.8,93.45,100,4.12
404,Kirovskiy,RU,-8.41,86,45.0917,133.5136,42,2.73
405,Lipari,IT,66.34,65,38.4674,14.954,0,6.04
406,Mildura,AU,65.17,63,-34.2,142.15,90,12.66
407,Iquitos,PE,84.2,70,-3.7481,-73.2472,75,2.3
408,Portland,US,40.3,81,45.5234,-122.6762,90,5.75
409,Myitkyina,MM,62.89,46,25.3833,97.4,7,2.66
410,Saddiqabad,PK,56.52,37,28.3062,70.1307,0,2.53
